indicator_label,indicator_name,indicator_category,indicator_target,indicator_GAP_category,evaluator_name,evaluator_flag,evaluator_comments,connection_human_health,connection_animal_health,connection_plant_health,connection_environmnental_health,AT1_health_systems_usability,AT1_health_systems_action,AT2_pandemic_zoonoses_usability,AT2_pandemic_zoonoses_action,AT3_endemic_zoonoses_usability,AT3_endemic_zoonoses_action,AT4_food_safety_usability,AT4_food_safety_action,AT5_antimicrobial_resistance_usability,AT5_antimicrobial_resistance_action,AT6_environment_usability,AT6_environment_action
3.CY.4,Protected Areas Network metric,complementary,target 3,Land and sea use,Gabriel Munoz Acevedo,,"Better connected protected areas reduce stress in animal populations, thereby reducing zoonotic emergence likelihood",indirectly connected,directly connected,directly connected,directly connected,directly usable,action 1.3,directly usable,action 2.2,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.3
3.CY.5,Number of protected areas that have completed a site-level assessment of governance and equity,complementary,target 3,Land and sea use,Gabriel Munoz Acevedo,,"Assesment may lead to better management decisions, better conservation outcomes",potentially connected,indirectly connected,indirectly connected,directly connected,not usable,none,usable after adaptation,action 2.3,not usable,none,not usable,none,not usable,none,directly usable,action 6.3
4.CT.1,Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,component,target 4,Species management,Gabriel Munoz Acevedo,,Food security in case of global disaster,indirectly connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,not usable,none
4.CT.2,Green Status of Species,component,target 4,Species management,Elodie Eiffener,,"Indicator = positive for H. Measuring species recovery rates and impact of coservation efforts. Examples: Food security, protection of extinction, plants as medicine, climate regulation",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
4.CT.3,Human-wildlife conflict indicator,component,target 4,Species management,Gabriel Munoz Acevedo,,"Some wildlife conflicts involve negative outcomes for human populations, albeit much of the time wildlife is the one affected, with indirect effect for humans",potentially connected,directly connected,indirectly connected,indirectly connected,directly usable,action 1.3,directly usable,action 2.2,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.1
4.CT.4,Proportion of local breeds classified as being at risk of extinction,component,target 4,Species management,Elodie Eiffener,,"Indicator = negative for H. The higher the % the worse for H. Examples: Loss of food source or livelihood for humans, ecosystem out of balance, e.g. potential of no natural predators or grazing ",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
4.CY.1,Species threat abatement and restoration metric,complementary,target 4,Species management,Andrea Paz Velez,,It measures the potential of investment in an area. If potential of investment does translate in restoration and species protection then this would be connected to ecosystem health and potentially the others by extension. Lots of ifs ,potentially connected,potentially connected,potentially connected,indirectly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,usable after adaptation,action 6.1
4.CY.2,Number of island invasive alien species eradications,complementary,target 4,Species management,Andrea Paz Velez,,Hard to tell the impact of this on ecosystem health with a number and not a proportion. Not the same to erradicate 1 in 2 than 1 in 100. But still connected to ecosystem health for sure and by extension the others. It potentially has a negative relation with animal/plant health if some of those used species are in fact becoming island invaders. So maybe species identity would be needed,potentially connected,potentially connected,potentially connected,directly connected,not usable,none,usable after adaptation,action 2.1,usable after adaptation,action 3.1,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
5.1,Proportion of fish stocks within biologically sustainable levels,headline,target 5,Species management,Elodie Eiffener,,"Indicator = positive for H. The higher the % the better for H. Examples: food security for humans, marine ecosystem in balance",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.3
5.b,Number of countries with legal instruments or other policy frameworks for regulating trade in wild species,binary,target 5,Species management,Elodie Eiffener,,"Indicator = positive for H. Basis for trying to keep ecosystem in balance, no guaranteed positive health effects though. Influences H through 2+ pathways: number - legal instrument - wild trade - H",potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,directly usable,action 2.1,directly usable,action 3.3,not usable,none,not usable,none,directly usable,action 6.1
5.CT.1,Red List Index (impacts of utilization) for utilized species,component,target 5,Species management,Andrea Paz Velez,,This is interesting but hard to spearate animal and plant health so potentially doing it separately for both would make it usable. But in general disapearance of important species might impact human health ,directly connected,potentially connected,potentially connected,indirectly connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,usable after adaptation,action 6.3
5.CT.2,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",component,target 5,Species management,Gabriel Munoz Acevedo,,"The implementation of instruments to prevent illegal, unreported, and unregulated fisheries can impact in human health trough better sanitary conditions for storing and distribution, and better health of consumed wildlife",indirectly connected,indirectly connected,not connected,indirectly connected,not usable,none,directly usable,action 2.2,directly usable,action 3.2,directly usable,action 4.1,not usable,none,directly usable,action 6.3
5.CY.1,Inland fisheries threat indicator,complementary,target 5,Species management,Andrea Paz Velez,,"Connected to food safety directly and potentially ecosystem health as the index includes things like pollution, habitat degradation, cliamte change",potentially connected,directly connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,usable after adaptation,action 6.2
5.CY.2,Red List Index (for internationally traded species),complementary,target 5,Species management,Andrea Paz Velez,,"Potentially usable if subsetting these species into other groupings (traded for food for example, or potential disease secondary hosts). It would be a stretch connecting it to ecosystem health though",potentially connected,potentially connected,potentially connected,potentially connected,not usable,none,usable after adaptation,action 2.2,usable after adaptation,action 3.1,usable after adaptation,action 4.2,not usable,none,not usable,none
5.CY.3,Red List Index (impacts of fisheries),complementary,target 5,Species management,Andrea Paz Velez,,Directly a measure of impacts on ecosystem health,potentially connected,potentially connected,potentially connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
5.CY.4,Marine Stewardship Council Fish Certified Catch,complementary,target 5,Species management,Andrea Paz Velez,🚩,measure of sustainable fishing could be related to fish health but not directly ,not connected,potentially connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
5.CY.5,Total catch of cetaceans under the International Convention for the Regulation of Whaling,complementary,target 5,Species management,Andrea Paz Velez,,,not connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
5.CY.6,By-catch of vulnerable and non-target species,complementary,target 5,Species management,Andrea Paz Velez,,Because it is related to population trends for these species it can be used potentially for environmental health. Because its by-catch then not usable for used species of fish,not connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
5.CY.7,Number of Marine Stewardship Council chain of custody certification holders by distribution country,complementary,target 5,Species management,Francis Banville,,,potentially connected,directly connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
5.CY.8,"Biodiversity-based trade, growth rates",complementary,target 5,Species management,Francis Banville,,,potentially connected,directly connected,directly connected,directly connected,not usable,none,usable after adaptation,action 2.1,usable after adaptation,action 3.1,usable after adaptation,action 4.3,not usable,none,directly usable,action 6.3
6.1,Rate of invasive alien species establishment,headline,target 6,Invasive alien species,Gabriel Munoz Acevedo,,Rate of alien species establishment may indicate resilience of community. Low resilience / high alien establishment may flag communities where zoonotic risk emergence is also high,directly connected,directly connected,directly connected,directly connected,not usable,none,directly usable,action 2.1,not usable,none,usable after adaptation,action 4.2,not usable,none,directly usable,action 6.4
6.b,"Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species",binary,target 6,Invasive alien species,Elodie Eiffener,🚩,"Indicator = positive for H. Indicator of presence of alien species and through that influence on H.Basis for trying to keep ecosystem in balance, no guaranteed positive health effects though. Invasive alien species covers both animals and plants? Influences H through 2+ pathways: number - regulation - alien species - H",potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,usable after adaptation,action 6.2
6.CY.1,Red List Index (impacts of invasive alien species),complementary,target 6,Invasive alien species,Gabriel Munoz Acevedo,,Can indicate areas of highly manufactured biodiversity where evolutionary connections and gardrails are severed. higher zoonotic risk emergence ,directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,directly usable,action 2.1,not usable,none,usable after adaptation,action 4.2,not usable,none,directly usable,action 6.4
7.1,Index of coastal eutrophication,headline,target 7,Pollution,Elodie Eiffener,,"Indicator = negative for H. Eutrophication: excessive enrichment of coastal waters, mainly man-made. Examples:  ""dead zones"" in ocean, harmful algae blooms, marine ecosystem out of balance",indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
7.2,Pesticide environment concentration and/or aggregated total applied toxicity,headline,target 7,Pollution,Elodie Eiffener,🚩,Indicator = negative for H. Not sure what agggregated total applied toxicity exactly is but i assume it relates to pollution. Direct H effects to all species.,directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
7.CT.1,Cropland nutrient budget,component,target 7,Pollution,Francis Banville,,,indirectly connected,indirectly connected,directly connected,directly connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.1,usable after adaptation,action 5.1,usable after adaptation,action 6.1
7.CT.2,Proportion of domestic and industrial wastewater flows safely treated,component,target 7,Pollution,Elodie Eiffener,,Indicator = positive for H. Indicator of water quality and through that influence on H,indirectly connected,indirectly connected,indirectly connected,directly connected,usable after adaptation,action 1.2,directly usable,action 2.2,usable after adaptation,action 3.2,not usable,none,usable after adaptation,action 5.1,usable after adaptation,action 6.1
7.CT.3,Plastic debris density,component,target 7,Pollution,Elodie Eiffener,,"Indicator = negative for H. Indicator of plastic pollution and plastic influences H. Examples: entangelement in macroplastics, hormone disruptive effects of microplastics",indirectly connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
7.CT.4,Red List Index (impact of pollution),component,target 7,Pollution,Andrea Paz Velez,,"It measures status of animals (birda, mammals, amphibians) driven by pollution so good measure for environmental health . As for actions in 6. I think it would help with more than 1 action , 1,2 and 3 and mostly 2,3",potentially connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.3
7.CY.1,Trends in Loss of Reactive Nitrogen to the Environment,complementary,target 7,Pollution,Francis Banville,,,indirectly connected,indirectly connected,directly connected,directly connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.1,usable after adaptation,action 5.1,usable after adaptation,action 6.1
7.CY.2,Trends in Nitrogen Deposition,complementary,target 7,Pollution,Francis Banville,,,indirectly connected,indirectly connected,directly connected,directly connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.1,usable after adaptation,action 5.1,usable after adaptation,action 6.1
7.CY.3,"Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",complementary,target 7,Pollution,Elodie Eiffener,,Indicator = positive for H. Indicator of pollution and through that influence on H. ,indirectly connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,usable after adaptation,action 3.1,not usable,none,not usable,none,directly usable,action 6.1
7.CY.4,Hazardous waste generation per capita,complementary,target 7,Pollution,Elodie Eiffener,,"Indicator = negative for H. Mainly indirect as no indication of how much of this waste ends up in the environment. However, the less wate generation the better for H in general (less likelihood of it ending up in env)",potentially connected,potentially connected,potentially connected,potentially connected,usable after adaptation,action 1.2,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
7.CY.5,"Trends in the amount of litter, including microplastics, in the water column and on the seafloor",complementary,target 7,Pollution,Elodie Eiffener,,Indicator = negative for H. Indicator of pollution and through that influence on H. ,indirectly connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.1,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
7.CY.6,Pesticide use per area of cropland,complementary,target 7,Pollution,Elodie Eiffener,,Indicator = negative for H. Indicator of concentration/toxicity and toxic element influences H. ,indirectly connected,indirectly connected,indirectly connected,directly connected,usable after adaptation,action 1.1,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
8.b,Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity,binary,target 8,Climate change,Gabriel Munoz Acevedo,,Can indicate global engagement and greter likelihood to adopt OneHealth frameworks when developing health policy,potentially connected,directly connected,directly connected,indirectly connected,directly usable,action 1.3,usable after adaptation,action 2.3,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.3
8.CT.1,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,component,target 8,Climate change,Elodie Eiffener,,"Indicator = positive for H. Indicator of disease and deterioration prevention. Disaster in turn causes disease and deterioration, indirect effects with 2+ steps",potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,directly usable,action 2.3,directly usable,action 3.3,not usable,none,usable after adaptation,action 5.1,usable after adaptation,action 6.1
8.CT.2,Bioclimatic Ecosystem Resilience Index (BERI),component,target 8,Climate change,Gabriel Munoz Acevedo,,Can indicate which natural habitat configurations are more resilient to climate change / underlying mechanisms of index calculation may be confounding or correlated with other indicators,potentially connected,indirectly connected,indirectly connected,directly connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.2,not usable,none,directly usable,action 6.2
8.CY.1,Above-ground biomass stock in forest (tons/ha),complementary,target 8,Climate change,Gabriel Munoz Acevedo,,"Relative change in aboveground biomass may serve as indicator of aspects affecting health such as burning and/or deforestation. Globally confounded, needs to be assesed relative to itself",directly connected,directly connected,indirectly connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.2
8.CY.2,"National greenhouse gas inventories from land use, land-use change and forestry",complementary,target 8,Climate change,Gabriel Munoz Acevedo,,"Greenhouse gases are a direct thread to human population, includling respiratory and cardiovascular diseases",directly connected,directly connected,directly connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.3
8.CY.3,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,complementary,target 8,Climate change,Gabriel Munoz Acevedo,,Disaster risk prevention is directly managed from local goverments. ,directly connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.3,usable after adaptation,action 2.2,not usable,none,usable after adaptation,action 4.2,not usable,none,not usable,none
8.CY.4,Average marine acidity (pH) measured at agreed suite of representative sampling stations,complementary,target 8,Climate change,Gabriel Munoz Acevedo,,Marine acidity influences food security and nutritional value of seafood.,directly connected,directly connected,indirectly connected,indirectly connected,not usable,none,usable after adaptation,action 2.2,not usable,none,not usable,none,not usable,none,directly usable,action 6.3
9.1,Benefits from the sustainable use of wild species,headline,target 9,Species management,Elodie Eiffener,🚩,Indicator = positive for H. Not sure what is meant with sustainable use of wild species or what are examples of such benefits.,potentially connected,indirectly connected,potentially connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.1,directly usable,action 3.3,not usable,none,not usable,none,directly usable,action 6.1
9.2,Percentage of the population in traditional occupations,headline,target 9,Species management,Gabriel Munoz Acevedo,🚩,"People with traditional occupations can influence positively health of rural and indigenous communities. the links for the health in urban populations maybe lower. More people in traditional occupations create a greater 'connection' with nature in their societies. Potentially, emphasizing traditional practices that maintain health in the absence of primary care",indirectly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.2,not usable,none,not usable,,directly usable,action 4.2,not usable,none,not usable,none
9.b,"Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",binary,target 9,Species management,Elodie Eiffener,,Indicator = positive for H. Regulation building the basis for sustainability. ,indirectly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,directly usable,action 2.3,directly usable,action 3.3,not usable,none,not usable,none,directly usable,action 6.1
9.CT.1,Red List Index (species used for food and medicine),component,target 9,Species management,Andrea Paz Velez,,Would need to be adapted to know if use is for food and/or medicine and if plant/animal,potentially connected,potentially connected,potentially connected,not connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.2,not usable,none,not usable,none
9.CY.1,Spawning stock biomass (related to commercially exploited species),complementary,target 9,Species management,Francis Banville,,,potentially connected,directly connected,directly connected,directly connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.3,usable after adaptation,action 5.1,directly usable,action 6.1
9.CY.2,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,complementary,target 9,Species management,Francis Banville,,,indirectly connected,directly connected,directly connected,directly connected,not usable,none,usable after adaptation,action 2.3,usable after adaptation,action 3.1,directly usable,action 4.3,usable after adaptation,action 5.1,directly usable,action 6.1
9.CY.3,Red List Index (impact of utilization),complementary,target 9,Species management,Andrea Paz Velez,,,not connected,potentially connected,potentially connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
10.1,Proportion of agricultural area under productive and sustainable agriculture,headline,target 10,"Agriculture, aquaculture, fisheries and forestry",Elodie Eiffener,,"Indicator = positive for H. The higher the % the better for H. Examples: livelihoods of people, thriving plants/crops, animal welfare",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
10.2,Progress towards sustainable forest management,headline,target 10,"Agriculture, aquaculture, fisheries and forestry",Gabriel Munoz Acevedo,,Sustainable management of forests can increase nature access and reduce deforestation (with its negative outcomes for health),indirectly connected,indirectly connected,indirectly connected,directly connected,directly usable,action 1.3,usable after adaptation,action 2.2,usable after adaptation,action 3.2,directly usable,action 4.2,not usable,none,directly usable,action 6.1
10.CT.1,"Average income of small-scale food producers, by sex and indigenous status",component,target 10,"Agriculture, aquaculture, fisheries and forestry",Elodie Eiffener,,"Indicator = positive for H. The higher the income, the better for the food producers and better for their livelihood and animals/plants in turn. Indicates resources to take care of H. ",indirectly connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,usable after adaptation,action 3.3,usable after adaptation,action 4.1,not usable,none,usable after adaptation,action 6.1
10.CY.1,Agrobiodiversity Index,complementary,target 10,"Agriculture, aquaculture, fisheries and forestry",Gabriel Munoz Acevedo,,,directly connected,potentially connected,indirectly connected,indirectly connected,directly usable,action 1.3,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,not usable,none
10.CY.2,Soil organic carbon stocks,complementary,target 10,"Agriculture, aquaculture, fisheries and forestry",Gabriel Munoz Acevedo,,Can indicate potential for nutriitious food production,indirectly connected,indirectly connected,directly connected,directly connected,not usable,none,usable after adaptation,action 2.2,not usable,none,usable after adaptation,action 4.2,not usable,none,directly usable,action 6.3
10.CY.3,Red List Index (forest specialist species),complementary,target 10,"Agriculture, aquaculture, fisheries and forestry",Gabriel Munoz Acevedo,,Can indicate health status of forest ecosystems,potentially connected,directly connected,directly connected,directly connected,not usable,none,usable after adaptation,action 2.2,not usable,none,usable after adaptation,action 4.2,not usable,none,usable after adaptation,action 6.4
10.CY.4,Area of forest under sustainable management: total forest management certification by the Forest Stewardship Council and the Programme for the Endorsement of Forest Certification,complementary,target 10,"Agriculture, aquaculture, fisheries and forestry",Gabriel Munoz Acevedo,,"Connection to human health at large scale due to carbon sinks, recreation (if accessible). Sustainable practices may be focused in sustain forestry products rather than ecosystem structure per se. ",indirectly connected,indirectly connected,directly connected,directly connected,not usable,none,not usable,none,usable after adaptation,action 3.2,usable after adaptation,action 4.2,not usable,none,directly usable,action 6.3
11.CT.1,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,component,target 11,Nature’s contributions to people,Elodie Eiffener,,"Indicator = negative for H. The higher the concentration the worse. Examples: respiratory illnesses like asthma and COPD, heart diseases, lung cancer allergies, perceived wellbeing. Impacts of air pollution on animals less explored but there are findings, including endocrine disruptions, increased vet visits and similar health effects to humans. Impacts on plants are also explored, including damages on leaves, roots, growth and flowering",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
11.CT.2,Proportion of bodies of water with good ambient water quality,component,target 11,Nature’s contributions to people,Gabriel Munoz Acevedo,,wastewater discharge has negative impacts on health of living beings,directly connected,directly connected,directly connected,directly connected,directly usable,action 1.1,directly usable,action 2.1,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
11.CT.3,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,component,target 11,Nature’s contributions to people,Francis Banville,,,directly connected,directly connected,directly connected,directly connected,not usable,none,directly usable,action 2.1,usable after adaptation,action 3.2,directly usable,action 4.1,not usable,none,directly usable,action 6.1
11.CY.1,Air emission accounts,complementary,target 11,Nature’s contributions to people,Gabriel Munoz Acevedo,,"Air emissions have negative impacts locally to the populations and ecosystems, but also globaly by promoting climate change and climate instability",directly connected,directly connected,directly connected,directly connected,directly usable,action 1.1,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
11.CY.2,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,complementary,target 11,Nature’s contributions to people,Gabriel Munoz Acevedo,,"Skate holder participation measures indicate the long term sustainability of water quality policies. ensuring positive health outcomes to the future. hypothesis: those palces with greater engagement do have healthier human, animal, plant, populations? ",indirectly connected,indirectly connected,indirectly connected,potentially connected,directly usable,action 1.1,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,directly usable,action 6.3
11.CY.3,Proportion of population using safely managed drinking water services,complementary,target 11,Nature’s contributions to people,Gabriel Munoz Acevedo,,"this indicator evaluates access to safe water, which is key for human populations. less so for animals and plants",directly connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.3
